"plant ID"	GH location	Gall	tissue	plate	column	row
592	freeze dried in -20C	X	leaf	3	10	H
615	freeze dried in -20C	X	leaf	3	11	A
623	freeze dried in -20C	X	leaf	3	11	B
656	freeze dried in -20C	X	leaf	3	11	C
674	freeze dried in -20C	X	leaf	3	11	D
698	freeze dried in -20C	X	leaf	3	11	E
720	freeze dried in -20C	X	leaf	3	11	F
721	freeze dried in -20C	X	leaf	3	11	G
723	freeze dried in -20C	X	leaf	3	11	H
724	freeze dried in -20C	X	leaf	3	12	A
726	freeze dried in -20C	X	leaf	3	12	B
738	freeze dried in -20C	X	leaf	3	12	C
740	freeze dried in -20C	X	leaf	3	12	D
747	freeze dried in -20C	X	leaf	3	12	E
753	freeze dried in -20C	X	leaf	3	12	F
791	freeze dried in -20C	X	leaf	3	12	G
813	freeze dried in -20C	X	leaf	3	12	H
843	freeze dried in -20C	X	leaf	4	1	A
872	freeze dried in -20C	X	leaf	4	1	B
949	freeze dried in -20C	X	leaf	4	1	C
960	freeze dried in -20C	X	leaf	4	1	D
982	freeze dried in -20C	X	leaf	4	1	E
984	freeze dried in -20C	X	leaf	4	1	F
1010	freeze dried in -20C	X	leaf	4	1	G
1014	freeze dried in -20C	X	leaf	4	1	H
1017	freeze dried in -20C	X	leaf	4	2	A
1018	freeze dried in -20C	X	leaf	4	2	B
1019	freeze dried in -20C	X	leaf	4	2	C
1026	freeze dried in -20C	X	leaf	4	2	D
1027	freeze dried in -20C	X	leaf	4	2	E
1056	freeze dried in -20C	X	leaf	4	2	F
1058	freeze dried in -20C	X	leaf	4	2	G
1067	freeze dried in -20C	X	leaf	4	2	H
1075	freeze dried in -20C	X	leaf	4	3	A
1088	freeze dried in -20C	X	leaf	4	3	B
1089	freeze dried in -20C	X	leaf	4	3	C
1104	freeze dried in -20C	X	leaf	4	3	D
1115	freeze dried in -20C	X	leaf	4	3	E
1139	freeze dried in -20C	X	leaf	4	3	F
1140	freeze dried in -20C	X	leaf	4	3	G
1168	freeze dried in -20C	X	leaf	4	3	H
1173	freeze dried in -20C	X	leaf	4	4	A
1224	freeze dried in -20C	X	leaf	4	4	B
1238	freeze dried in -20C	X	leaf	4	4	C
1260	freeze dried in -20C	X	leaf	4	4	D
1274	freeze dried in -20C	X	leaf	4	4	E
1277	freeze dried in -20C	X	leaf	4	4	F
