sample	sample_long	sample_type	num_pooled
P03_WA11	P03_WA11_i5-510_i7-25_S918	galled_10_5_prog	1
P03_WA12	P03_WA12_i5-510_i7-23_S919	galled_10_5_prog	1
P03_WB01	P03_WB01_i5-510_i7-31_S920	galled_10_5_prog	1
P03_WB02	P03_WB02_i5-510_i7-39_S921	galled_10_5_prog	1
P03_WB03	P03_WB03_i5-510_i7-02_S922	galled_10_5_prog	1
P03_WB04	P03_WB04_i5-510_i7-20_S923	galled_10_5_prog	1
P03_WB05	P03_WB05_i5-510_i7-90_S924	galled_10_5_prog	1
P03_WB06	P03_WB06_i5-510_i7-06_S925	galled_10_5_prog	1
P03_WB07	P03_WB07_i5-510_i7-29_S926	galled_10_5_prog	1
P03_WB08	P03_WB08_i5-510_i7-57_S927	galled_10_5_prog	1
P03_WB09	P03_WB09_i5-510_i7-63_S928	galled_10_5_prog	1
P03_WB10	P03_WB10_i5-510_i7-55_S929	galled_10_5_prog	1
P03_WB11	P03_WB11_i5-510_i7-05_S930	galled_10_5_prog	1
P03_WB12	P03_WB12_i5-510_i7-75_S931	galled_10_5_prog	1
P03_WC01	P03_WC01_i5-510_i7-65_S932	galled_10_5_prog	1
P03_WC02	P03_WC02_i5-510_i7-67_S933	galled_10_5_prog	1
P03_WC03	P03_WC03_i5-510_i7-40_S934	galled_10_5_prog	1
P03_WC04	P03_WC04_i5-510_i7-19_S935	galled_10_5_prog	1
P03_WC05	P03_WC05_i5-510_i7-81_S936	galled_10_5_prog	1
P03_WC06	P03_WC06_i5-510_i7-03_S937	galled_10_5_prog	1
P03_WC07	P03_WC07_i5-510_i7-62_S938	galled_10_5_prog	1
P03_WC08	P03_WC08_i5-510_i7-17_S939	galled_10_5_prog	1
P03_WC09	P03_WC09_i5-510_i7-93_S940	galled_10_5_prog	1
P03_WC10	P03_WC10_i5-510_i7-47_S941	galled_10_5_prog	1
P03_WC11	P03_WC11_i5-510_i7-70_S942	galled_10_5_prog	1
P03_WC12	P03_WC12_i5-510_i7-43_S943	galled_10_5_prog	1
P03_WD01	P03_WD01_i5-510_i7-52_S944	galled_10_5_prog	1
P03_WD02	P03_WD02_i5-510_i7-72_S945	galled_10_5_prog	1
P03_WD03	P03_WD03_i5-510_i7-30_S946	galled_10_5_prog	1
P03_WD04	P03_WD04_i5-510_i7-91_S947	galled_10_5_prog	1
P03_WD05	P03_WD05_i5-510_i7-71_S948	galled_10_5_prog	1
P03_WD06	P03_WD06_i5-510_i7-50_S949	galled_10_5_prog	1
P03_WD07	P03_WD07_i5-510_i7-86_S950	galled_10_5_prog	1
P03_WD08	P03_WD08_i5-510_i7-80_S951	galled_10_5_prog	1
P03_WD09	P03_WD09_i5-510_i7-64_S952	galled_10_5_prog	1
P03_WD10	P03_WD10_i5-510_i7-08_S953	galled_10_5_prog	1
P03_WD11	P03_WD11_i5-510_i7-58_S954	galled_10_5_prog	1
P03_WD12	P03_WD12_i5-510_i7-09_S955	galled_10_5_prog	1
P03_WE01	P03_WE01_i5-510_i7-48_S956	galled_10_5_prog	1
P03_WE02	P03_WE02_i5-510_i7-89_S957	galled_10_5_prog	1
P03_WE03	P03_WE03_i5-510_i7-87_S958	galled_10_5_prog	1
P03_WE04	P03_WE04_i5-510_i7-21_S959	galled_10_5_prog	1
P03_WE05	P03_WE05_i5-510_i7-94_S960	galled_10_5_prog	1
